,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
266,Gençlik Mh.,60000.0,220.0,190.0,3+1,21-25 arası,2,13.0,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,1,1,1600,120000,0
267,Haşimişcan Mh.,25000.0,100.0,90.0,3+1,31 ve üzeri,4,6.0,Klima,1.0,1,1,Yok,1,0,150,40000,0
268,Üçgen Mh.,15000.0,45.0,35.0,1+1,0,Giriş Katı,6.0,Kombi (Doğalgaz),1.0,0,1,Kapalı Otopark,0,0,0,15000,1
269,Güzeloluk Mh.,55000.0,200.0,185.0,4+1,5-10 arası,1,7.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,0,0,0
270,Yüksekalan Mh.,15000.0,80.0,65.0,2+1,16-20 arası,2,2.0,Klima,1.0,1,0,Açık Otopark,1,0,100,16000,0
272,Deniz Mah.,18000.0,90.0,85.0,2+1,26-30 arası,Giriş Katı,4.0,Klima,1.0,1,0,Yok,1,0,70,18000,0
273,Gençlik Mh.,20000.0,150.0,140.0,3+1,31 ve üzeri,2,6.0,Klima,1.0,1,1,Açık Otopark,0,0,450,20000,0
274,Gençlik Mh.,40000.0,170.0,150.0,3+1,21-25 arası,1,6.0,Klima,1.0,1,1,Yok,0,1,0,40000,0
275,Deniz Mah.,35000.0,170.0,160.0,3+1,0,3,5.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,1200,35000,0
276,Güzeloba Mh.,23000.0,165.0,150.0,3+1,21-25 arası,5,10.0,Klima,1.0,1,1,Açık Otopark,0,1,650,30000,0
277,Gençlik Mh.,22000.0,110.0,100.0,2+1,31 ve üzeri,1,5.0,Klima,1.0,1,1,Açık Otopark,1,0,0,44000,0
278,Kızılarık Mh.,15500.0,100.0,90.0,2+1,4,4,7.0,Klima,1.0,1,1,Kapalı Otopark,0,0,0,0,0
279,Dutlubahçe Mh.,16000.0,150.0,140.0,3+1,16-20 arası,2,4.0,Klima,1.0,1,0,Açık Otopark,0,0,100,16000,0
280,Güzeloba Mh.,40000.0,155.0,140.0,3+1,21-25 arası,4,11.0,Klima,1.0,1,1,Açık Otopark,0,0,250,0,0
281,Yeşilbahçe Mh.,30000.0,180.0,170.0,4+1,16-20 arası,1,10.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,0,0,0
282,Güzeloba Mh.,15000.0,55.0,45.0,1+1,2,Yüksek Giriş,1.0,Klima,1.0,1,0,Açık Otopark,1,0,250,15000,0
283,Konuksever Mah.,17000.0,125.0,120.0,3+1,16-20 arası,5,10.0,Klima,1.0,1,1,Açık Otopark,0,1,50,17000,1
284,Çaybaşı Mh.,24000.0,170.0,140.0,3+1,21-25 arası,6,7.0,Klima,2.0,0,1,Açık Otopark,1,0,200,24000,1
285,Kızılarık Mh.,13999.0,90.0,85.0,2+1,4,2,4.0,Klima,2.0,1,1,Açık Otopark,1,0,0,14000,0
286,Güzeloba Mh.,30000.0,165.0,145.0,3+1,16-20 arası,6,8.0,Klima,2.0,1,1,Açık Otopark,1,1,800,30000,0
287,Meydankavağı Mh.,23000.0,130.0,120.0,3+1,11-15 arası,1,3.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,0,0,0,0,0
289,Kızılarık Mh.,12000.0,130.0,120.0,2+1,11-15 arası,3,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
290,Yıldız Mh.,16000.0,110.0,100.0,2+1,21-25 arası,1,6.0,Klima,1.0,1,1,Açık Otopark,0,0,200,18000,0
291,Güzeloba Mh.,38500.0,65.0,55.0,2+1,1,Bahçe Katı,3.0,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0
292,Güzeloba Mh.,22500.0,110.0,90.0,2+1,2,1,2.0,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,0,0,45000,0
293,Güzeloba Mh.,19000.0,120.0,105.0,3+1,11-15 arası,2,2.0,Klima,1.0,1,0,Yok,0,0,200,19000,0
294,Dutlubahçe Mh.,18000.0,135.0,120.0,3+1,11-15 arası,1,3.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,1
295,Güzeloba Mh.,27000.0,100.0,85.0,2+1,11-15 arası,1,3.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,0,50000,1
296,Meydankavağı Mh.,50000.0,230.0,178.0,4+1,5-10 arası,2,5.0,Merkezi (Pay Ölçer),2.0,1,1,Açık Otopark,1,1,3000,100000,0
297,Güzeloba Mh.,120000.0,300.0,240.0,4+1,16-20 arası,2,3.0,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,1,950,0,0
298,Üçgen Mh.,11500.0,125.0,115.0,2+1,16-20 arası,Giriş Katı,4.0,Klima,2.0,1,0,Yok,0,0,100,11500,0
299,Bayındır Mh.,35000.0,135.0,120.0,3+1,11-15 arası,4,7.0,Klima,2.0,1,1,Açık Otopark,1,0,200,35000,0
301,Fener Mah.,55000.0,155.0,145.0,3+1,16-20 arası,8,8.0,Merkezi (Pay Ölçer),1.0,1,1,Açık Otopark,0,1,3500,55000,0
303,Güzeloba Mh.,17000.0,60.0,55.0,1+1,2,1,2.0,Klima,1.0,1,0,Açık Otopark,1,0,850,30000,0
304,Yeşildere Mh.,18500.0,120.0,110.0,2+1,1,3,4.0,Klima,1.0,1,1,Açık Otopark,1,0,100,19000,0
305,Şirinyalı Mh.,36000.0,165.0,150.0,3+1,16-20 arası,13,13.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,1000,0,0
306,Kızılarık Mh.,12000.0,95.0,85.0,2+1,4,2,4.0,Yok,1.0,1,1,Açık Otopark,0,0,0,12000,0
307,Çağlayan Mh.,22000.0,160.0,150.0,3+1,11-15 arası,2,9.0,Klima,2.0,1,1,Açık Otopark,1,1,0,22000,0
308,Güzeloba Mh.,25000.0,130.0,125.0,3+1,4,3,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,25000,0
309,Elmalı Mh.,22000.0,88.0,85.0,2+1,26-30 arası,3,4.0,Klima,1.0,1,1,Yok,0,0,100,21000,0
310,Çağlayan Mh.,30000.0,100.0,95.0,2+1,21-25 arası,9,12.0,Klima,1.0,1,1,Açık Otopark,1,1,500,0,0
311,Kışla Mh.,17800.0,50.0,45.0,1+1,3,1,4.0,Kombi (Doğalgaz),1.0,1,1,Yok,1,0,0,0,0
312,Dutlubahçe Mh.,12000.0,80.0,70.0,2+1,5-10 arası,Giriş Katı,4.0,Yok,1.0,1,0,Açık Otopark,0,0,0,0,0
313,Altındağ Mh.,20000.0,190.0,180.0,3+1,16-20 arası,2,5.0,Klima,1.0,1,1,Yok,1,0,0,0,0
314,Ermenek Mah.,45000.0,210.0,160.0,4+2,16-20 arası,2,2.0,Klima,3.0,1,0,Açık Otopark,0,0,0,45000,0
315,Gençlik Mh.,15000.0,130.0,120.0,3+1,31 ve üzeri,2,5.0,Klima,1.0,1,0,Yok,0,0,100,15000,0
316,Şirinyalı Mh.,25000.0,95.0,85.0,2+1,16-20 arası,9,12.0,Klima,1.0,1,1,Açık Otopark,1,1,400,25000,0
317,Ermenek Mah.,25000.0,100.0,95.0,2+1,1,1,3.0,Klima,2.0,1,0,Yok,1,0,0,0,0
318,Gençlik Mh.,70000.0,350.0,280.0,4+2,16-20 arası,5,5.0,Kombi (Doğalgaz),3.0,1,1,Açık Otopark,0,0,1100,70000,0
319,Meydankavağı Mh.,40000.0,220.0,200.0,3+1,5-10 arası,1,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,1500,40000,0
